# NovaVision offline affect lexicon
# Columns: word, valence (-1..1), arousal (0..1)
# This is a small demo lexicon for offline use and tests. For research,
# replace it with empirical norms (NRC-VAD or Warriner et al., 2013) via
# scripts/download_lexicon.py and point NOVAVISION_LEXICON at the file.
word	valence	arousal
happy	0.85	0.65
joyful	0.88	0.72
delighted	0.86	0.70
grateful	0.80	0.55
love	0.90	0.68
excited	0.82	0.82
cheerful	0.84	0.66
content	0.70	0.45
peaceful	0.65	0.30
hopeful	0.72	0.55
proud	0.78	0.62
thrilled	0.85	0.85
glad	0.78	0.58
bliss	0.90	0.60
sunny	0.70	0.55
wonderful	0.86	0.62
blessed	0.82	0.50
calm	0.45	0.22
sad	-0.72	0.32
lonely	-0.70	0.30
heartbroken	-0.82	0.40
grief	-0.80	0.42
sorrow	-0.75	0.35
melancholy	-0.65	0.30
depressed	-0.80	0.28
hopeless	-0.82	0.30
miserable	-0.78	0.38
gloomy	-0.62	0.30
crying	-0.70	0.45
despair	-0.82	0.40
unhappy	-0.68	0.32
mournful	-0.72	0.33
angry	-0.65	0.85
furious	-0.70	0.90
rage	-0.72	0.92
annoyed	-0.50	0.65
irritated	-0.52	0.66
frustrated	-0.58	0.70
hostile	-0.66	0.80
outraged	-0.70	0.88
hatred	-0.78	0.82
mad	-0.60	0.80
resentful	-0.60	0.62
afraid	-0.72	0.80
scared	-0.74	0.82
terrified	-0.82	0.88
anxious	-0.68	0.72
nervous	-0.60	0.70
worried	-0.62	0.65
panic	-0.78	0.90
dread	-0.76	0.78
frightened	-0.76	0.84
threatened	-0.70	0.80
surprised	0.30	0.82
astonished	0.35	0.85
amazed	0.45	0.82
shocked	-0.10	0.88
startled	0.05	0.85
stunned	0.10	0.84
wonder	0.50	0.70
unexpected	0.10	0.75
disgust	-0.65	0.55
disgusted	-0.66	0.56
revolted	-0.70	0.58
gross	-0.55	0.48
nausea	-0.62	0.50
repulsed	-0.68	0.55
sickening	-0.66	0.55
vile	-0.64	0.52
table	0.00	0.20
chair	0.00	0.20
wood	0.00	0.22
paper	0.00	0.20
ordinary	0.00	0.25
plain	0.00	0.25
neutral	0.00	0.30
routine	-0.05	0.25
